Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,EU-DataTransfer-In-Bytes,,10/06/13 17:00:00,10/06/13 18:00:00,131487498
AmazonEC2,RunInstances,EU-DataTransfer-Out-Bytes,,10/06/13 17:00:00,10/06/13 18:00:00,1939287
AmazonEC2,CreateVolume,EU-EBS:VolumeUsage,,10/06/13 17:00:00,10/06/13 18:00:00,8589934592
AmazonEC2,EBS:IO-Write,EU-EBS:VolumeIOUsage,,10/06/13 17:00:00,10/06/13 18:00:00,26257
AmazonEC2,EBS:IO-Read,EU-EBS:VolumeIOUsage,,10/06/13 17:00:00,10/06/13 18:00:00,4228
AmazonEC2,RunInstances,EU-BoxUsage:t1.micro,,10/06/13 17:00:00,10/06/13 18:00:00,1
AmazonEC2,RunInstances,EU-DataTransfer-In-Bytes,,10/06/13 18:00:00,10/06/13 19:00:00,176445955
AmazonEC2,RunInstances,EU-DataTransfer-Out-Bytes,,10/06/13 18:00:00,10/06/13 19:00:00,3360917
AmazonEC2,CreateVolume,EU-EBS:VolumeUsage,,10/06/13 18:00:00,10/06/13 19:00:00,8589934592
AmazonEC2,EBS:IO-Write,EU-EBS:VolumeIOUsage,,10/06/13 18:00:00,10/06/13 19:00:00,79808
AmazonEC2,EBS:IO-Read,EU-EBS:VolumeIOUsage,,10/06/13 18:00:00,10/06/13 19:00:00,16893
AmazonEC2,RunInstances,EU-BoxUsage:t1.micro,,10/06/13 18:00:00,10/06/13 19:00:00,1
AmazonEC2,RunInstances,EU-CloudFront-Out-Bytes,,10/06/13 18:00:00,10/06/13 19:00:00,445
AmazonEC2,RunInstances,EU-CloudFront-In-Bytes,,10/06/13 18:00:00,10/06/13 19:00:00,526
AmazonEC2,RunInstances,EU-DataTransfer-In-Bytes,,10/06/13 19:00:00,10/06/13 20:00:00,242418
AmazonEC2,RunInstances,EU-DataTransfer-Out-Bytes,,10/06/13 19:00:00,10/06/13 20:00:00,357714
AmazonEC2,CreateVolume,EU-EBS:VolumeUsage,,10/06/13 19:00:00,10/06/13 20:00:00,8589934592
AmazonEC2,EBS:IO-Write,EU-EBS:VolumeIOUsage,,10/06/13 19:00:00,10/06/13 20:00:00,7929
AmazonEC2,EBS:IO-Read,EU-EBS:VolumeIOUsage,,10/06/13 19:00:00,10/06/13 20:00:00,5775
AmazonEC2,RunInstances,EU-BoxUsage:t1.micro,,10/06/13 19:00:00,10/06/13 20:00:00,1
AmazonEC2,RunInstances,EU-DataTransfer-In-Bytes,,10/06/13 20:00:00,10/06/13 21:00:00,105523338
AmazonEC2,RunInstances,EU-DataTransfer-Out-Bytes,,10/06/13 20:00:00,10/06/13 21:00:00,2864916
AmazonEC2,CreateVolume,EU-EBS:VolumeUsage,,10/06/13 20:00:00,10/06/13 21:00:00,8589934592
AmazonEC2,EBS:IO-Write,EU-EBS:VolumeIOUsage,,10/06/13 20:00:00,10/06/13 21:00:00,15426
AmazonEC2,EBS:IO-Read,EU-EBS:VolumeIOUsage,,10/06/13 20:00:00,10/06/13 21:00:00,5651
AmazonEC2,RunInstances,EU-BoxUsage:t1.micro,,10/06/13 20:00:00,10/06/13 21:00:00,1
AmazonEC2,RunInstances,EU-USE1-AWS-In-Bytes,,10/06/13 20:00:00,10/06/13 21:00:00,829390
AmazonEC2,RunInstances,EU-USE1-AWS-Out-Bytes,,10/06/13 20:00:00,10/06/13 21:00:00,13022
AmazonEC2,PublicIP-Out,EU-USW2-AWS-Out-Bytes,,10/06/13 20:00:00,10/06/13 21:00:00,2027
AmazonEC2,PublicIP-In,EU-USW2-AWS-In-Bytes,,10/06/13 20:00:00,10/06/13 21:00:00,4974
