Number of Users N,System Througput X, System Response Time R,Utilisation_0,Utilisation_1,Utilisation_2,Utilisation_3,Demand_0,Demand_1,Demand_2,Demand_3
1,0.02702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702703,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014,0.08108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108109,0.02702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702702703,0.18918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918921,0.08108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108109,3.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,0.05405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405405,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009,0.15558802045288531775018261504747991234477720964207450693937180423666910153396639883126369612856099342585829072315558802045288531775018261504747991234477720964207450693937180423666910153396639883126369,0.05332359386413440467494521548575602629656683710737764791818845872899926953981008035062089116143170197224251278305332359386413440467494521548575602629656683710737764791818845872899926953981008035062088,0.34258582907231555880204528853177501826150474799123447772096420745069393718042366691015339663988312636961285609934258582907231555880204528853177501826150474799123447772096420745069393718042366691015337,0.15558802045288531775018261504747991234477720964207450693937180423666910153396639883126369612856099342585829072315558802045288531775018261504747991234477720964207450693937180423666910153396639883126369,2.87837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837848,0.98648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648648635,6.33783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783783782,2.87837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837837848
3,0.08108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108108,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006,0.22405385663238110279746510571930586539790338183325765502536868497423647167986101514224231536138037233727518606992675655933508380550016780842200856810060608453596035772807138767693917438256371784494502,0.07890944267861725860264939885100586342368665232069176554202120308767496495765305115195546167058219651353325568080863917240834698833237912858073559315341638205042149527175093281740469468738278088168519,0.46696148303160720983949617989062839318500384972262254950348449252758967879493810830552978105936469705644285629676425878032890450713679347718792569048230114701991984680078178982488697609223540560282709,0.22405385663238110279746510571930586539790338183325765502536868497423647167986101514224231536138037233727518606992675655933508380550016780842200856810060608453596035772807138767693917438256371784494502,2.76333089846603360116873630387143900657414170927684441197954711468224981738495252008765522279035792549306062819576333089846603360116873630387143900657414170927684441197954711468224981738495252008765528,0.97321645970294618943267591916240564889213537862186510835159483808132456781105429754078402727051375700024348672997321645970294618943267591916240564889213537862186510835159483808132456781105429754078402,5.75919162405648892135378621865108351594838081324567811054297540784027270513757000243486729973216459702946189432675919162405648892135378621865108351594838081324567811054297540784027270513757000243486752,2.76333089846603360116873630387143900657414170927684441197954711468224981738495252008765522279035792549306062819576333089846603360116873630387143900657414170927684441197954711468224981738495252008765528
4,0.10810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810810811,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003,0.28696840879732317554361658363395674117645175627920973705033879159794702803014255445503347898072790971533395476695972224371332025370285690503644030582217856416817978818255208597340356564884233531697651,0.10380378206568165701879400969287056981764106712283523133818279219341347941825702274244315189570159660776208660835435162720812139405312563861909409063575647983284253594008198868720456780394000302001803,0.56780660786346530527526717288429329177162474301834260770552796691426190172562549322069982248056597058630501861899804765972613878957037308961183164093159552461074582173036361337152998061532600454283278,0.28696840879732317554361658363395674117645175627920973705033879159794702803014255445503347898072790971533395476695972224371332025370285690503644030582217856416817978818255208597340356564884233531697651,2.65445778137523937377845339861409985588217874558269006771563382228101000927881862870905968057173316486683908159437743075434821234675142637158707282885515171855566304068860679525398298225179160168203267,0.96018498410755532742384458965905277081317987088622588987819082778907468461887746036759915503523976862179930112727775255167512289499141215722662033838074743845379345744575839535664225218644502793516676,5.25221112273705407379622134917971294888752887291966912127613369395692259096203581229147335794523522792332142222573194085246678380352595107890944267861725860264939885100586342368665232069176554202120312,2.65445778137523937377845339861409985588217874558269006771563382228101000927881862870905968057173316486683908159437743075434821234675142637158707282885515171855566304068860679525398298225179160168203267
5,0.13513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513513514,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,0.34478178105699967482386388766363592432430701928359813674895997065757294467634721220192265636066889000868525573180082584557440239529451715597943163237713705896535439995153434927285733059623349731830274,0.12802530146931188250477254997144163549824536260600184670742109510710500700154737347913387752014209399674148967299342320485114514015979791865641587196992522362114408902278247547944228218761730023569321,0.64957292529470159887183824828456212846347952136622373597745510830886100139915580531408093714640484101592298806945787648085903145100300520779337700616075312806276688248407860543637565995837243611581037,0.34478178105699967482386388766363592432430701928359813674895997065757294467634721220192265636066889000868525573180082584557440239529451715597943163237713705896535439995153434927285733059623349731830274,2.55138517982179759369659276871090583999987194269862621194230378286603979060496937029422765706894978606427089241532611125725057772517942695424779407959081423634362255964135418461914424641212788015544018,0.94738723087290793053531686978866810268701568328441366563491610379257705181145056374559069364905149557588702358015133171589847403718250459805747745257744665479646625876859031854787288818836802174412972,4.80683964718079183165160303730575975062974845811005564623316780148557141035375295932419893488339582351783011171398828595835683273742223853767098984558957314766447493038218168022917988369195602725699656,2.55138517982179759369659276871090583999987194269862621194230378286603979060496937029422765706894978606427089241532611125725057772517942695424779407959081423634362255964135418461914424641212788015544018
6,0.16216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216216,7.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,0.39790758259291862010841546433955733586557942312546855809363889195560757078367041121257757611520925027825131607787102915539269409297334008927839663515736918931951485400951805068316619568302537591411602,0.15159218521338453432896788645869996967396846091394774274235566010421027708258663365537350245203014551034307103318279014526057364988520878571975598353830562298273478931946403019621411239876277860770150,0.71586993942813643151770668779829361767309150381045167781955819592610351464796416647087643552411203325615377411037125120069651198729973395226490027526547550924008125606817184224570999456084251576957594,0.39790758259291862010841546433955733586557942312546855809363889195560757078367041121257757611520925027825131607787102915539269409297334008927839663515736918931951485400951805068316619568302537591411602,2.45376342598966482400189536342727023783773977594038944157743983372624668649930086914422838604379037671588311581353801312492161357333559721721677925013711000080367493305869464587952487337865648480371549,0.93481847548253796169530196649531647965613884230267774691119323730929670867595090754146993178751923064711560470462720589577353750762545417860516189848621800839353120080336151954332035979237046808082593,4.41453129314017466102585790808947730898406427349778534655394220821097167366244569323707135239869087174628160701395604907096182392168169270563355169747043230698050107908705969384854496645852884724571836,2.45376342598966482400189536342727023783773977594038944157743983372624668649930086914422838604379037671588311581353801312492161357333559721721677925013711000080367493305869464587952487337865648480371549
7,0.18918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918918919,6.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.44672588670700629955908448074445809241701892935853867500496546828353128126067010760074696183559768944487958774723283760225274592327279900095852663771217709288820283881955712765480136900602331840756608,0.17452212615356333069845524087873510562872607007843564158715685847977216148575996788090394833170500644249596100525893095214542301069912206178138420019943249803725547068920824559631643368528270351019607,0.76962427521200251204138380091753536568088500308955541444829042912927311998483581065206197474928002696444900603543614962218636107078356806940397319616119635884330912654176095317219729288716960738073729,0.44672588670700629955908448074445809241701892935853867500496546828353128126067010760074696183559768944487958774723283760225274592327279900095852663771217709288820283881955712765480136900602331840756608,2.36126540116560472624087511250642134563281434089513299645481747521295105809211342588966251255958778706579210666394499875476451416587050900506649794219293606240907214804623053188966437903183754015427784,0.92247409538312046226326341607331412975183779898601696267497196625022428213901697308477801261044074833890722245636863503276866448512393089798731648676842891819692177364295786958052972090792286141103637,4.06801402612058470650445723342125836145610644490193576208382083968330077706270357058947043796048014252637331761587679086012790851699885979542100117970918075388606252600645075248161426240361078186961137,2.36126540116560472624087511250642134563281434089513299645481747521295105809211342588966251255958778706579210666394499875476451416587050900506649794219293606240907214804623053188966437903183754015427784
8,0.21621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621621622,6.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,0.49158594994697876175699654987328581465347685400514364730186016004432604223953469347095666763271139030070016171367341833720522598354797746034026772114091949076213233837472817135846612287039980610424991,0.19683233896022378122011861274687740007119293304928873235507153798031885982398267145169032810652379005215823232944112200749284401040995660065215760019404243052273505256247288760722680034243722503694753,0.81320887179351555030382470344665029649801486736990979549861386145616739458229930593410430385076758943063432921792120239636731978712181194816538367256313218284592631881764401608556537261121860057897616,0.49158594994697876175699654987328581465347685400514364730186016004432604223953469347095666763271139030070016171367341833720522598354797746034026772114091949076213233837472817135846612287039980610424991,2.27358501850477677312610904316394689277233044977378936877110324020500794535784795730317458780129018014073824792573955980957417017390939575407373821027675264477486206498311779253290581827559910323215579,0.91034956769103498814304858395430797532926731535296038714220586315897472668591985546406776749267252899123182452366518928465440354814604927801622890089744624116764961810143710518342395158377216579588231,3.76109103204500942015518925344075762130331876158583280418108910923477419994313428994523240530980010111668377263288556108319885401543838026026489948560448634566240922453160357439573984832688602767776467,2.27358501850477677312610904316394689277233044977378936877110324020500794535784795730317458780129018014073824792573955980957417017390939575407373821027675264477486206498311779253290581827559910323215579
9,0.24324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324324,6.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,0.53280871078102012514897836167709121784576417362992779069259685698344009339685275265753795411511611164279532534864912132156143714741226444459087318143705605172434469781266308461139684100737089892574127,0.21853957304237989524119648807804287574494447539930795580493446938625618793684800465569869761715828221291071253675352411539844282093941723306696415154014939185995842952024389064486931925210108381973270,0.84854773388663422997607408387566240256595800057019713148536259036986545506672916697359808420332507251132513179831448842948701604361227995797193270748362068879399431255484649952883678860369075722619687,0.53280871078102012514897836167709121784576417362992779069259685698344009339685275265753795411511611164279532534864912132156143714741226444459087318143705605172434469781266308461139684100737089892574127,2.19043581098863829227913326467248611781036382492303647284734263426525371729817242759210047802881068119815855976666860987753035271713930938331803419035234154597786153545205934784685367969696925113915858,0.89844046695200623599158556209862071139588284330826604053139726303238655040704179691787242353720627131974404042887559914108248715275093751371974151188728083320205132136100266154001831248086001125890111,3.48847401708949627879052678926661209943782733567747709610649064929833575971877546422479212394700307587989220850418178576566884373485048427166239001965488505393086550716992449806299568648183977970769829,2.19043581098863829227913326467248611781036382492303647284734263426525371729817242759210047802881068119815855976666860987753035271713930938331803419035234154597786153545205934784685367969696925113915858
10,0.27027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027027,6.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,0.57068908572876675365681210527197851954924771518283060947788011749173427434376653695112318938042543853290604400243717766248765484922371991373820441675810633414046333102081244662754241051905328433884120,0.23966012512231557374819117758944712234643246255067801105344975399743845312774400452986900308696481512607528787359802346363091733929240595649758674203906427316104063412780486657338636467771997344622644,0.87720086531348721349411412206134789397239837884070037688002372192151253113518581105967412232702032906323659334998472034823271571103698374970697246552726001794107646963906472934770550427326277612934886,0.57068908572876675365681210527197851954924771518283060947788011749173427434376653695112318938042543853290604400243717766248765484922371991373820441675810633414046333102081244662754241051905328433884120,2.11154961719643698853020478950632052233221654617647325506815643471941681507193618671915580070757412257175236280901755735120432294212776368083135634200499343631971432477700605252190691892049715205371244,0.88674246295256762286830735708095435268180011143750864089776408979052227657265281676051531142176981596647856513231268681543439415538190203904107094554453781069585034627287800632152954930756390175103783,3.24564320165990268992822225162698720769787400171059139445608777110959636520018750092079425260997521753397539539494346528846104813083683987391579812245086206638198293766453949858651036581107227167859079,2.11154961719643698853020478950632052233221654617647325506815643471941681507193618671915580070757412257175236280901755735120432294212776368083135634200499343631971432477700605252190691892049715205371244
